,k,t,i,b,x,y,z,r
673,1,3,1,a,1600,1200,1500,0
674,1,3,1,a,1600,1200,2250,0
675,1,3,1,a,3200,1200,0,0
676,1,3,1,a,3200,1200,750,0
677,1,3,1,a,3200,1200,1500,0
678,1,3,1,a,3200,1200,2250,0
679,1,3,1,a,4800,1200,0,0
680,1,3,1,a,4800,1200,750,0
681,1,3,1,a,4800,1200,1500,0
682,1,3,1,a,4800,1200,2250,0
683,1,3,1,a,6400,1200,0,0
684,1,3,1,a,6400,1200,750,0
685,1,3,1,a,6400,1200,1500,0
686,1,3,1,a,6400,1200,2250,0
687,1,3,1,a,8000,1200,0,0
688,1,3,1,a,8000,1200,750,0
689,1,3,1,a,8000,1200,1500,0
690,1,3,1,a,8000,1200,2250,0
691,1,3,1,a,9600,1200,0,0
692,1,3,1,a,9600,1200,750,0
693,1,3,1,a,9600,1200,1500,0
694,1,3,1,a,9600,1200,2250,0
