,k,t,i,b,x,y,z,r,Volume
514,1,4,2,b,0,1200,0,0,1200000000
515,1,4,6,b,0,1200,1000,0,1200000000
516,1,4,1,b,0,1200,2000,0,1200000000
517,1,4,2,b,1000,1200,0,0,1200000000
518,1,4,1,b,1000,1200,1000,0,1200000000
519,1,4,2,b,1000,1200,2000,0,1200000000
520,1,4,1,b,1600,0,0,0,1200000000
521,1,4,2,b,1600,0,1000,0,1200000000
522,1,4,1,b,1600,0,2000,0,1200000000
523,1,4,2,b,2000,1200,0,0,1200000000
524,1,4,1,b,2000,1200,1000,0,1200000000
525,1,4,2,b,2000,1200,2000,0,1200000000
526,1,4,4,c,2600,0,0,1,1440000000
527,1,4,10,c,2600,0,1000,1,1440000000
528,1,4,7,c,2600,0,2000,1,1440000000
529,1,4,4,c,3000,800,0,1,1440000000
530,1,4,7,c,3000,800,1000,1,1440000000
531,1,4,4,c,3000,800,2000,1,1440000000
532,1,4,7,c,4400,0,0,1,1440000000
533,1,4,4,c,4400,0,1000,1,1440000000
534,1,4,4,c,4400,0,2000,1,1440000000
535,1,4,4,c,3000,1600,0,1,1440000000
536,1,4,4,c,3000,1600,1000,1,1440000000
537,1,4,4,c,3000,1600,2000,1,1440000000
538,1,4,4,c,4800,800,0,1,1440000000
539,1,4,4,c,4800,800,1000,1,1440000000
540,1,4,7,c,4800,800,2000,1,1440000000
541,1,4,1,b,6600,0,0,0,1200000000
542,1,4,2,b,6600,0,1000,0,1200000000
543,1,4,1,b,6600,0,2000,0,1200000000
544,1,4,2,b,6600,1200,0,0,1200000000
545,1,4,1,b,6600,1200,1000,0,1200000000
546,1,4,2,b,6600,1200,2000,0,1200000000
547,1,4,1,b,7600,0,0,0,1200000000
548,1,4,2,b,7600,0,1000,0,1200000000
549,1,4,1,b,7600,0,2000,0,1200000000
550,1,4,2,b,7600,1200,0,0,1200000000
551,1,4,1,b,7600,1200,1000,0,1200000000
552,1,4,6,b,7600,1200,2000,0,1200000000
553,1,4,2,b,8600,0,0,0,1200000000
