,t,c,producto,CantidadPedir
1054,9,1,2,0
1055,9,1,3,0
1056,9,1,4,0
1057,9,1,5,0
1058,9,1,6,0
1059,9,1,7,0
1060,9,1,8,0
1061,9,1,9,0
1062,9,1,10,0
1063,9,1,11,0
1064,9,1,12,0
1065,9,1,13,0
1066,9,2,1,4
1067,9,2,2,0
1068,9,2,3,0
1069,9,2,4,8
1070,9,2,5,3
1071,9,2,6,9
1072,9,2,7,0
1073,9,2,8,0
1074,9,2,9,0
1075,9,2,10,10
1076,9,2,11,6
1077,9,2,12,0
1078,9,2,13,0
1079,9,3,1,0
1080,9,3,2,0
1081,9,3,3,0
1082,9,3,4,0
1083,9,3,5,0
1084,9,3,6,0
1085,9,3,7,0
1086,9,3,8,0
1087,9,3,9,0
1088,9,3,10,0
1089,9,3,11,0
1090,9,3,12,0
1091,9,3,13,0
1092,9,4,1,0
1093,9,4,2,0
1094,9,4,3,0
1095,9,4,4,0
1096,9,4,5,0
1097,9,4,6,0
1098,9,4,7,0
1099,9,4,8,0
1100,9,4,9,0
1101,9,4,10,0
1102,9,4,11,0
1103,9,4,12,0
1104,9,4,13,0
1105,9,5,1,0
1106,9,5,2,0
1107,9,5,3,0
1108,9,5,4,0
1109,9,5,5,0
1110,9,5,6,0
1111,9,5,7,0
1112,9,5,8,0
1113,9,5,9,0
1114,9,5,10,0
1115,9,5,11,0
1116,9,5,12,0
1117,9,5,13,0
1118,9,6,1,0
1119,9,6,2,0
1120,9,6,3,0
1121,9,6,4,0
1122,9,6,5,0
1123,9,6,6,0
1124,9,6,7,0
1125,9,6,8,0
1126,9,6,9,0
1127,9,6,10,0
1128,9,6,11,0
1129,9,6,12,0
1130,9,6,13,0
1131,9,7,1,0
1132,9,7,2,0
1133,9,7,3,0
1134,9,7,4,0
1135,9,7,5,0
1136,9,7,6,0
1137,9,7,7,0
1138,9,7,8,0
1139,9,7,9,0
1140,9,7,10,0
1141,9,7,11,0
1142,9,7,12,0
1143,9,7,13,0
1144,9,8,1,4
1145,9,8,2,0
